Authors,Author(s)ID,Title,Year,Sourcetitle,Volume,Issue,Art.No.,Pagestart,Pageend,Pagecount,Citedby,DOI,Link,DocumentType,PublicationStage,AccessType,Source,EID
"Boulenger, C.L.",57128999500,On some filariid parasites of cattle and other ruminants,1920,Parasitology,12,4,,341,349,,4,10.1017/S0031182000014335,https://www.scopus.com/inward/record.url?eid=2-s2.0-84959700340&partnerID=40&md5=6d6cb938450eafa3add5d1ec56334b46,Article,Final,,Scopus,2-s2.0-84959700340
"Singh, B.K., Singh, D., Dutt, G., Singh, G.",57207053263; 57198857168; 23076604000; 23078814800,CVIII. - Studies on the dependence of optical rotatory power on chemical constitution. Part II. The effect of position-isomerism and conjugation on optical activity among aryl derivatives of amino- and bisimino-camphor,1920,"Journal of the Chemical Society, Transactions",117,,,980,988,,,10.1039/CT9201700980,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049172866&partnerID=40&md5=31a0bf2e7ff0415e03760887cee49b18,Review,Final,,Scopus,2-s2.0-37049172866
"Singh, B.K.",57207053263,"CXXXI. - Studies in substituted quaternary azonium compounds containing an asymmetric nitrogen atom. Part III. Resolution of phenylmethylethylazonium, phenylbenzylpropylazonium, and phenylbenzylallylazonium iodides into optically active components",1920,"Journal of the Chemical Society, Transactions",117,,,1202,1214,,1,10.1039/CT9201701202,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049163412&partnerID=40&md5=f42a60602ad02ff103392d76d84b4fbf,Review,Final,,Scopus,2-s2.0-37049163412
"Singh, B.K., Singh, M.",57207053263; 23078192400,CLXXVIII. - Studies on the dependence of optical rotatory power on chemical constitution. Part III. 1:4-Naphthylenebisiminocamphor,1920,"Journal of the Chemical Society, Transactions",117,,,1599,1601,,,10.1039/CT9201701599,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049159439&partnerID=40&md5=698169f5fc41cae5936f165b281d7de0,Article,Final,,Scopus,2-s2.0-37049159439
"Boulenger, C.L.",57128999500,"31. Filariid Worms from Mammals and Birds in the Society's Gardens, 1914–1915.",1920,Proceedings of the Zoological Society of London,90,4,,491,505,,4,10.1111/j.1096-3642.1920.tb03242.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-0347268049&partnerID=40&md5=599c48ea1ad4101bcde89e37f94e2cc9,Article,Final,,Scopus,2-s2.0-0347268049
"IMMS, A.D., HUSAIN, M.A.",24593602400; 56945206900,FIELD EXPERTMENTS ON THE CHEMOTROPIC RESPONSES OF INSECTS,1920,Annals of Applied Biology,6,4,,269,292,,,10.1111/j.1744-7348.1920.tb06473.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84946386398&partnerID=40&md5=7d6e9dca50d5614bfbd9c9c95866380b,Article,Final,,Scopus,2-s2.0-84946386398
"Hemmy, A.S.",55279009500,The flow of viscous liquids through slightly conical tubes,1921,Proceedings of the Physical Society of London,34,1,304,22,26,,,10.1088/1478-7814/34/1/304,https://www.scopus.com/inward/record.url?eid=2-s2.0-36149071858&partnerID=40&md5=33efb3a8795f284bf66c93ac54e16b58,Article,Final,,Scopus,2-s2.0-36149071858
"Benade, J.M.",22987279200,Thermoelectric electric effects in iron and mercury due to asymmetric heating,1921,Physical Review,18,3,,199,205,,,10.1103/PhysRev.18.199,https://www.scopus.com/inward/record.url?eid=2-s2.0-36149022523&partnerID=40&md5=320cd3024eb810d23ae1d37c41b01d23,Article,Final,,Scopus,2-s2.0-36149022523
"Bhatia, B.L.",57190461189,III.—Notes on Fresh?Water Ciliate Protozoa of India.—II,1922,Journal of the Royal Microscopical Society,42,1,,27,36,,,10.1111/j.1365-2818.1922.tb01143.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84980094557&partnerID=40&md5=44af5a292768d2234926a1b152589956,Article,Final,,Scopus,2-s2.0-84980094557
"BRENCHLEY, W.E., SINGH, K.",24826923400; 56945135200,EFFECT OF HIGH ROOT TEMPERATURE AND EXCESSIVE INSOLATION UPON GROWTH.,1922,Annals of Applied Biology,9,4-Mar,,197,209,,,10.1111/j.1744-7348.1922.tb05955.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84946390053&partnerID=40&md5=d9cac7be879f5517e633821a96e35dbc,Article,Final,,Scopus,2-s2.0-84946390053
"Vaughan, K.",55563739000,The treatment of non-malignant affections of the colon,1923,British Medical Journal,1,3241,,259,,,,10.1136/bmj.1.3241.259,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965230844&partnerID=40&md5=39ffbd6b872bdfd8a1783a5f407d3e73,Letter,Final,,Scopus,2-s2.0-84965230844
"Wood, J.A.",57199230077,Reality proved by Identity: A Study in Evidence for the Historical Truth of the Gospels,1923,The Expository Times,35,2,,54,59,,,10.1177/001452462303500202,https://www.scopus.com/inward/record.url?eid=2-s2.0-84970656235&partnerID=40&md5=a7a2f693aa1940b0ad3b295ffddd475e,Article,Final,,Scopus,2-s2.0-84970656235
"Bhatia, B.L.",24771280000,A new Gregarine parasite of Leptoplana [10],1923,Nature,111,2778,,116,,,,10.1038/111116d0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149201425&partnerID=40&md5=d84d4cd29ff88a606b9008bf959ca91e,Letter,Final,,Scopus,2-s2.0-51149201425
"Dunnicliff, H.B.",16065455500,LXXXVI. - The hydrogen sulphates of the alkali metals and ammonium,1923,"Journal of the Chemical Society, Transactions",123,,,731,738,,,10.1039/CT9232300731,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049176437&partnerID=40&md5=edb165629872528398a86ea910996cf7,Article,Final,,Scopus,2-s2.0-37049176437
"Dunnicliff, H.B.",16065455500,LX.- the action of alcohol on the sulphates of ammonium,1923,"Journal of the Chemical Society, Transactions",123,,,476,484,,,10.1039/CT9232300476,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049156951&partnerID=40&md5=dec69aefb6966ea3715512203ae6fb77,Article,Final,,Scopus,2-s2.0-37049156951
