Authors,Author(s)ID,Title,Year,Sourcetitle,Volume,Issue,Art.No.,Pagestart,Pageend,Pagecount,Citedby,DOI,Link,DocumentType,PublicationStage,AccessType,Source,EID
"Bhatnagar, S.S., Prasad, M., Singh, B.",55429686600; 57197403605; 55480056700,Einige physikalische Eigenschaften von einwertigen Salzen höherer Fettsäuren im geschmolzenen Zustande - I. Teil. Leitfähigkeit und Oberflächenspannung,1926,Kolloid-Zeitschrift,38,3,,218,222,,,10.1007/BF01460832,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347100553&partnerID=40&md5=19b7354476d1c484c665042bf9464e6d,Article,Final,,Scopus,2-s2.0-34347100553
"Malik, K.S.",16664426200,Viskositäten einwertiger Salze der höheren Fettsäuren in wässeriger Lösung,1926,Kolloid-Zeitschrift,39,4,,322,324,,,10.1007/BF01432039,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347109543&partnerID=40&md5=a28f9bd441aa261ad7afc308f1a6065e,Article,Final,,Scopus,2-s2.0-34347109543
"Christensen, J.",57190353901,THE NEW AFGHANISTAN.,1926,The Muslim World,16,4,,349,356,,,10.1111/j.1478-1913.1926.tb00635.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84980098079&partnerID=40&md5=aa5eb8765a0f33c3fc7eae9a7d85e76f,Article,Final,,Scopus,2-s2.0-84980098079
"OSMASTON, B.B.",57190078988,The Birda of Ladakh,1926,Ibis,68,2,,446,448,,,10.1111/j.1474-919X.1926.tb07597.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84977249430&partnerID=40&md5=751b036a88458f4a77dfb305d1b884ef,Letter,Final,,Scopus,2-s2.0-84977249430
"Bakhsh, J.A.",57190457552,THE STORY OF MY CONVERSION,1926,The Muslim World,16,1,,79,84,,1,10.1111/j.1478-1913.1926.tb00605.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84894912026&partnerID=40&md5=68863617f3c1aa36361e0e0766e8d2f6,Article,Final,,Scopus,2-s2.0-84894912026
"Bhatnagar, S.S., Lai, R.B., Mathur, K.N.",55429686600; 24770620200; 8225654900,Effect of polarised radiations on animal metabolism [3],1926,Nature,118,2957,,11,12,,,10.1038/118011a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149196734&partnerID=40&md5=921c27939eecfe105a48e9184bc3009b,Letter,Final,,Scopus,2-s2.0-51149196734
"Bhatnagar, S.S., Lal, R.B.",55429686600; 24770962700,Effects of polarised light on bacterial growth [3],1926,Nature,117,2939,,302,,,,10.1038/117302a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149166095&partnerID=40&md5=d94122a031dd3894b317faa6db0937b5,Letter,Final,,Scopus,2-s2.0-51149166095
"Nath, V., Raj Mehta, D.",7004113249; 24771203400,Origin of yolk in the eggs of Luciola gorhami [10],1927,Nature,119,2983,,13,14,,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149181535&partnerID=40&md5=5e1ff6b462471a8b0ddbde85836ed480,Letter,Final,,Scopus,2-s2.0-51149181535
"Gill, C.A.",24590409500,Zoological nomenclature in medical literature,1927,British Medical Journal,1,3450,,354,,,,10.1136/bmj.1.3450.354,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965243015&partnerID=40&md5=c21b76da069b1aca43e359d6d3fbd8e0,Letter,Final,,Scopus,2-s2.0-84965243015
"Biswas, S.C.",24770929100,Ionisation potential of hydrogen fluoride [7],1927,Nature,119,3002,,707,,,,10.1038/119707b0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149193787&partnerID=40&md5=456b88ced7bd3591eecdefdacdbbcccc,Letter,Final,,Scopus,2-s2.0-51149193787
"Singh, M., Singh, R.",23078192400; 37041395300,Chlorocamphoranilic acids and camphorochlorophenylimides,1927,Journal of the Chemical Society (Resumed),,,,1994,1997,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049175285&partnerID=40&md5=279f0a36e3a39bf71d6fb630cb83a9eb,Article,Final,,Scopus,2-s2.0-37049175285
"Seth, J.B.",16653078100,A change in the refractive index of air when an electric glow discharge is passing through it [15],1928,Nature,120,3033,,880,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149170110&partnerID=40&md5=450d5082f135e7e1f418f1b6c176c503,Letter,Final,,Scopus,2-s2.0-51149170110
"Krishna, S., Singh, H.",23077498900; 16051254800,Estimation of ?SOOH (sulfinic) group and FE<sup>+++</sup>,1928,Journal of the American Chemical Society,50,3,,792,798,,17,10.1021/ja01390a025,https://www.scopus.com/inward/record.url?eid=2-s2.0-6244254629&partnerID=40&md5=b07c9fc6d6558549e9f9517e491504aa,Article,Final,,Scopus,2-s2.0-6244254629
"Krishna, S., Swarup, J.",23077498900; 16051753700,A quick method for estimation of halogens in certain organic compounds,1928,Journal of the American Chemical Society,50,3,,798,801,,,10.1021/ja01390a026,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947351033&partnerID=40&md5=e4ee0c60cef9b0ec4c6447b75c2ec418,Article,Final,,Scopus,2-s2.0-33947351033
