Authors,Author(s)ID,Title,Year,Sourcetitle,Volume,Issue,Art.No.,Pagestart,Pageend,Pagecount,Citedby,DOI,Link,DocumentType,PublicationStage,AccessType,Source,EID
"Hallilay, H.",24590238300,An unusual case of intestinal obstruction,1928,British Journal of Surgery,16,62,,340,340,,,10.1002/bjs.1800166225,https://www.scopus.com/inward/record.url?eid=2-s2.0-84981833340&partnerID=40&md5=016bf38fcfbba34bbaa44aec2f6a9408,Article,Final,,Scopus,2-s2.0-84981833340
"Jenkinson, E.J.",57190355465,JESUS IN MOSLEM TRADITION,1928,The Muslim World,18,3,,263,269,,,10.1111/j.1478-1913.1928.tb00730.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84980100698&partnerID=40&md5=8e8687b918c46d300fcbeb9ec1acde6e,Article,Final,,Scopus,2-s2.0-84980100698
"Paul, M.S.M.",57190461288,WHY I BECAME A CHRISTIAN,1928,The Muslim World,18,2,,177,190,,,10.1111/j.1478-1913.1928.tb00718.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84980096517&partnerID=40&md5=71f83b57b8047f47ed3d8f65446dcbbf,Article,Final,,Scopus,2-s2.0-84980096517
"Bhatnagar, S.S., Goyle, D.N., Prasad, M.",55429686600; 16663666900; 57197403605,Ueber die blaue Farbe der Kupfer - Ammoniumkomplexe,1928,Kolloid-Zeitschrift,44,1,,79,82,,,10.1007/BF01678360,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347121434&partnerID=40&md5=a13341c4ecfd56de7a70b0925fb593ea,Article,Final,,Scopus,2-s2.0-34347121434
"Dunnicliff, H.B., Aggarwal, A.L., Hoon, R.C.",16065455500; 36763553200; 16065426400,The system: Ammonium sulphate-sulphuric acid-ethyl alcohol,1928,Journal of Physical Chemistry,32,11,,1697,1704,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947563034&partnerID=40&md5=820a141c6231af8328d38a972a30cc61,Article,Final,,Scopus,2-s2.0-33947563034
"Ramdas, L.A.",56569323100,The Raman effect and the spectrum of the zodiacal light [10],1928,Nature,122,3063,,57,,,1,10.1038/122057a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-0041829712&partnerID=40&md5=b5c04a36e2d049200714e9db67c5358e,Letter,Final,,Scopus,2-s2.0-0041829712
"Rây, J.N.",16051184000,Erratum: 6 (or 8)-nitro-1-phenylphthalazine: A correction (Journal of the Chemical Society (Resumed) (1929) (1941)),1929,Journal of the Chemical Society (Resumed),,,,2661,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049171424&partnerID=40&md5=baa93949b4d59fa93357cf2a6717be76,Erratum,Final,,Scopus,2-s2.0-37049171424
"Aggarwal, J.S., Darbari, N.L., Rây, J.N.",16050657300; 23075446000; 16051184000,Phthalazines. Part I,1929,Journal of the Chemical Society (Resumed),,,,1941,1945,,9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049159936&partnerID=40&md5=7a1c80a2ba1cfa2ccb349c110a1f001f,Article,Final,,Scopus,2-s2.0-37049159936
"Smith, S.",57189129615,Methaemoglobinaemia,1929,British Medical Journal,2,3581,,365,366,,,10.1136/bmj.2.3581.365,https://www.scopus.com/inward/record.url?eid=2-s2.0-84967939082&partnerID=40&md5=7bb2fcccddfc95f8ef9037b53e59ed7a,Letter,Final,,Scopus,2-s2.0-84967939082
"Seth, J.B., Anand, C., Dayal, M.",16653078100; 16648171900; 16648428300,Änderung der Magnetisierungsintensität eines Eisendrahtes beim Recken,1929,Zeitschrift für Physik,52,6-May,,382,388,,,10.1007/BF01339429,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250923158&partnerID=40&md5=f21b1a1cd494f21c4eeffc934b22d3b0,Article,Final,,Scopus,2-s2.0-34250923158
"Heinrich, J.C.",57190358606,A CLINIC ON MOSLEM EVANGELIZATION,1929,The Muslim World,19,1,,47,51,,,10.1111/j.1478-1913.1929.tb02315.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979320145&partnerID=40&md5=063c6f280ca6730be11f96fb2be75284,Article,Final,,Scopus,2-s2.0-84979320145
"Benade, J.M.",22987279200,Atmospheric electricity during sandstorms,1929,Science,70,1816,,379,380,,,10.1126/science.70.1816.379,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049196926&partnerID=40&md5=a3b4bca4750e0ebe87772b85c33435c8,Note,Final,,Scopus,2-s2.0-37049196926
"Nath, V.",7004113249,Studies on the shape of the Golgi apparatus - 1. Egg-follicle of Culex,1929,Zeitschrift für Zellforschung und Mikroskopische Anatomie,8,4,,655,670,,1,10.1007/BF00584385,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347164508&partnerID=40&md5=466757974bbede51a8963d06d59e0772,Article,Final,,Scopus,2-s2.0-34347164508
"Yajnik, N.A., Haksar, L.N.",16051111300; 16664686900,Die Lichtwirkung von Elektrolyten und Nichtelektrolyten auf das Durchlässigkeitsvermögen von Kieselsäuregelen,1929,Kolloid-Zeitschrift,49,3,,303,308,,,10.1007/BF01422740,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347121593&partnerID=40&md5=24fcc33a2fc9e73edc5d5ae53307491a,Article,Final,,Scopus,2-s2.0-34347121593
"Bhatnagar, S.S., Gupta, R.S., Mathur, K.G., Mathur, K.N.",55429686600; 16649998300; 16651214900; 8225654900,Die Wirkung von Röntgenstrahlen auf kolloidale Lösungen,1929,Zeitschrift für Physik,56,10-Sep,,684,693,,,10.1007/BF01339920,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250917177&partnerID=40&md5=39361d48e745f0b72564f89e58aed1b6,Article,Final,,Scopus,2-s2.0-34250917177
"Dunnicliff, H.B., Mohammad, S.",16065455500; 16065310600,The action of hydrogen sulphide on solutions of nitric acid,1929,Journal of Physical Chemistry,33,9,,1343,1362,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947552524&partnerID=40&md5=c549a49ffd31ca5430094d8ec33072a1,Article,Final,,Scopus,2-s2.0-33947552524
"Dunnicliff, H.B., Soni, C.L.",16065455500; 16066332400,The action of hydrogen sulphide on chromates. Part I,1929,Journal of Physical Chemistry,33,1,,81,87,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947550041&partnerID=40&md5=68be834801596df10d1a20f29a15978e,Article,Final,,Scopus,2-s2.0-33947550041
"Sharma, B.S.",16051788300,The development of colour by photochemical change in concentrated solutions of ammonium thiocyanate,1930,Journal of the Chemical Society (Resumed),,,,308,309,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049152723&partnerID=40&md5=779b69e4780dee88102ab435ac1194ee,Article,Final,,Scopus,2-s2.0-37049152723
"Wflls, R.T.",57189278790,Spontaneous surgical emphysema,1930,British Medical Journal,2,3629,,163,,,,10.1136/bmj.2.3629.163,https://www.scopus.com/inward/record.url?eid=2-s2.0-84968034584&partnerID=40&md5=3755cb8dc9bec19f67605255c62f7c01,Letter,Final,,Scopus,2-s2.0-84968034584
"Browne, L.E.",56913994100,ABDULLAH: A Dialogue,1930,The Muslim World,20,3,,289,301,,,10.1111/j.1478-1913.1930.tb00797.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979312805&partnerID=40&md5=ad67c12c5159a1924504be6bd464da0a,Article,Final,,Scopus,2-s2.0-84979312805
"Madan, K.E.",36507306100,A double mask for anæsthesia,1930,British Journal of Anaesthesia,8,1,,19,21,,,10.1093/bja/8.1.19,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957178895&partnerID=40&md5=785497f6ecf751f0e86ad925c0291b57,Article,Final,Open Access,Scopus,2-s2.0-77957178895
"Bhandari, K.G., Nath, V.",24797777900; 7004113249,"Studies in the origin of yolk. V. Oogenesis of the red cotton bug, dysdercus cingulatus",1930,Zeitschrift für Zellforschung und Mikroskopische Anatomie,10,3,,604,624,,9,10.1007/BF02482849,https://www.scopus.com/inward/record.url?eid=2-s2.0-51649215682&partnerID=40&md5=cfe660110b205281cb0fb8a65bcf63da,Article,Final,,Scopus,2-s2.0-51649215682
"Nath, V.",7004113249,The nature of the vacuome and the golgi apparatus in oogenesis [5],1930,Nature,126,3185,,758,759,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149172945&partnerID=40&md5=9eff4202643d0f9fce6e574279e5bac0,Letter,Final,,Scopus,2-s2.0-51149172945
"Ishaq, M., Rây, J.N.",23076430100; 16051184000,CCCLXVI. - ?-cyano-?-arylideneacetanilides and the conversion of their o-nitro-derivatives into quinoline derivatives,1930,Journal of the Chemical Society (Resumed),,,,2739,2741,,2,10.1039/JR9300002739,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049161207&partnerID=40&md5=12878d3f6460b8814375b1ea5553db29,Article,Final,,Scopus,2-s2.0-37049161207
"Bhagat, K.L., Rây, J.N.",23075943100; 16051184000,1:3:4-triazoles,1930,Journal of the Chemical Society (Resumed),,,,2357,2358,,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049159318&partnerID=40&md5=92bd3e94d674faed11c87aa81a7f396c,Article,Final,,Scopus,2-s2.0-37049159318
"Aggarwal, J.S., Ishwar Khera, D.A.S., Rây, J.N.",16050657300; 23076295300; 16051184000,Phthalazines. Part II,1930,Journal of the Chemical Society (Resumed),,,,2354,2357,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049158130&partnerID=40&md5=337945b4d6f02d507b00af3dcd7fd5ca,Article,Final,,Scopus,2-s2.0-37049158130
"Singh, M., Singh, R.",23078192400; 37041395300,"The action of substituted aromatic amines on camphoric anhydride. Hydroxy-, methoxy-, and ethoxy-camphoranilic acids and camphoro-methoxy- and -ethoxy-phenylimides",1930,Journal of the Chemical Society (Resumed),,,,1301,1304,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049150829&partnerID=40&md5=0caacdecfad715e518a3ff00c6c5efe0,Article,Final,,Scopus,2-s2.0-37049150829
"Aggarwal, J.S., Ray, J.N.",16050657300; 16051184000,N-acylpyrazolones as acylating agents,1930,Journal of the Chemical Society (Resumed),,,,492,493,,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049149357&partnerID=40&md5=75a28cf09fed73713c1469fbfb9e4a68,Article,Final,,Scopus,2-s2.0-37049149357
"Nath Mathur, K., Kant Lahiri, T.",23001725200; 23000987100,The use of photographic self-timers as precision timing instruments,1930,Journal of Scientific Instruments,7,4,303,122,125,,,10.1088/0950-7671/7/4/303,https://www.scopus.com/inward/record.url?eid=2-s2.0-36149073746&partnerID=40&md5=627293f309968cd21ec827ee7b85da96,Article,Final,,Scopus,2-s2.0-36149073746
"Bhatia, S.L.",16663915900,Das Verhalten von adsorbierten Elektrolyten bei Gleich- und Wechselstromelektrolyse,1930,Kolloid-Zeitschrift,50,1,,55,58,,,10.1007/BF01422835,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347110470&partnerID=40&md5=0d433f48f5c52c7d6ecc3432bba9fe90,Article,Final,,Scopus,2-s2.0-34347110470
"Kichlu, P.K.",56636097000,Das erste Funkenspektrum des Xenons,1930,Zeitschrift für Physik,64,10-Sep,,697,,,,10.1007/BF01397219,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250928302&partnerID=40&md5=7b0e8dc91fcd6fd361ab38d8a3b5bc22,Article,Final,,Scopus,2-s2.0-34250928302
"Gulati, K.C., Venkataraman, K.",23076456600; 57208848277,Synthetical experiments in the chromone group. Part III. Diflavones,1931,Journal of the Chemical Society (Resumed),,,,2376,2381,,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049158764&partnerID=40&md5=f3958e9448d27550393719e8ca7d3818,Article,Final,,Scopus,2-s2.0-37049158764
"Bhullar, A.S., Venkataraman, K.",23075769300; 57208848277,Synthetical experiments in the chromone group. Part II. 1:4-?-naphthapyrones,1931,Journal of the Chemical Society (Resumed),,,,1165,1170,,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049157644&partnerID=40&md5=c292c16204ac615b62c69138581b4797,Article,Final,,Scopus,2-s2.0-37049157644
"Nath, V.",7004113249,A demonstration of the vacuome and the Golgi apparatus as independent cytoplasmic components in the fresh eggs of the frog,1931,Zeitschrift für Zellforschung und Mikroskopische Anatomie,13,1,,82,108,,2,10.1007/BF00406350,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347166972&partnerID=40&md5=d7a554dc3ec88cb8bb412c9544a56f2c,Article,Final,,Scopus,2-s2.0-34347166972
"Bhatnagar, S.S., Mathur, R.N., Nevgi, M.B.",55429686600; 16650850000; 16651007700,Magnetismus und Molekülbau - Einfluß geometrischer Isomerie auf die diamagnetische Suszeptibilität,1931,Zeitschrift für Physik,69,6-May,,373,379,,,10.1007/BF01391359,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250933037&partnerID=40&md5=635ff7551d840cbce2a9e6530d1fba0c,Article,Final,,Scopus,2-s2.0-34250933037
"BROWNE, L.E.",56913994100,THE PATRIARCH TIMOTHY AND THE CALIPH AL?MAHDI,1931,The Muslim World,21,1,,38,45,,3,10.1111/j.1478-1913.1931.tb00821.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-79956898465&partnerID=40&md5=183b974fdc35a2413c450fe8a0a0e2aa,Article,Final,,Scopus,2-s2.0-79956898465
"Seth, J.B.",16653078100,A method of obtaining air currents of different humidities [6],1931,Nature,128,3232,,638,639,,,10.1038/128638a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149177257&partnerID=40&md5=e01a78b1d9c95cea5aab53ce65f7c7e3,Letter,Final,,Scopus,2-s2.0-51149177257
"Seth, J.B.",16653078100,Spectrum of doubly ionised iodine [9],1931,Nature,127,3196,,165,,,,10.1038/127165c0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149167348&partnerID=40&md5=09e0f53614ca9d5e75f748f0cb1ce98e,Letter,Final,,Scopus,2-s2.0-51149167348
"Vaidhianathan, V.I., Singh, B.",26631305900; 55480053900,Magnetism of colloidal gold [5],1931,Nature,128,3225,,302,303,,1,10.1038/128302b0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149164934&partnerID=40&md5=3ce85360798970ea183800ad04108c2f,Letter,Final,,Scopus,2-s2.0-51149164934
"Singh, M., Singh, D.",23078192400; 23078989500,The action of substituted aromatic amines on camphoric anhydride. The rotatory powers of some disubstituted camphoranilic acids,1931,Journal of the Chemical Society (Resumed),,,,478,482,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049174911&partnerID=40&md5=7e0df2bf0922078c29c5c8d6c1133a18,Article,Final,,Scopus,2-s2.0-37049174911
"Narang, K.S., Rây, J.N.",23077880200; 16051184000,Studies in chemotherapy (antimalarials). Part I. A derivative of glyoxalinoquinoline,1931,Journal of the Chemical Society (Resumed),,,,976,980,,5,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049160143&partnerID=40&md5=ddfec48fdabbda3b165fbe2d9234f2b7,Article,Final,,Scopus,2-s2.0-37049160143
"Ahluwalia, G.S., Narang, K.S., R?y, J.N.",23075924400; 23077880200; 16051184000,Experiments on the synthesis of isoquinoline derivatives. Part I,1931,Journal of the Chemical Society (Resumed),,,,2057,2059,,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049155144&partnerID=40&md5=18f1147fb6b0813091093ff0c7e56a39,Article,Final,,Scopus,2-s2.0-37049155144
"Ahluwalia, G.S., Haq, M.A., R?y, J.N.",23075924400; 23076864500; 16051184000,The condensation of aromatic aldehydes with malonanilic acid and its derivatives,1931,Journal of the Chemical Society (Resumed),,,,2059,2062,,4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049152390&partnerID=40&md5=d6a9ffde5bad3d65148bb0f19087c3c9,Article,Final,,Scopus,2-s2.0-37049152390
"Anand, B.",23000472000,A modified apparatus for raman effect,1931,Journal of Scientific Instruments,8,8,304,258,260,,,10.1088/0950-7671/8/8/304,https://www.scopus.com/inward/record.url?eid=2-s2.0-36149071726&partnerID=40&md5=390318ba0fc7733660b3e6df165ea960,Article,Final,,Scopus,2-s2.0-36149071726
"Dunnicliff, H.B., Kotwani, G.S.",16065455500; 16065525800,The action of hydrogen sulphide on chromates. Part II. Hydrogen chromate,1931,Journal of Physical Chemistry,35,11,,3214,3236,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947571430&partnerID=40&md5=9ac04b91eaa5efa01ca560f3fd51723b,Article,Final,,Scopus,2-s2.0-33947571430
"Dunnicliff, H.B., Mohammad, S., Kishen, J.",16065455500; 16065310600; 16065951800,The interaction between nitric oxide and hydrogen sulphide in the presence of water,1931,Journal of Physical Chemistry,35,6,,1721,1734,,6,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947563683&partnerID=40&md5=936cf9a10d4ddbca42c9402a4f45e885,Article,Final,,Scopus,2-s2.0-33947563683
"Bhatnagar, S.S.",55429686600,Some observations on the colour of colloidal solutions of arsenic trisulphide,1931,Journal of Physical Chemistry,35,6,,1803,1804,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947558064&partnerID=40&md5=2fd48acd98886f6bd7e76196d39fe951,Article,Final,,Scopus,2-s2.0-33947558064
"Hughes, T.A.",57189125516,Rheumatic Fever and the Tropics,1932,British Medical Journal,2,3756,,1212,1213,,,10.1136/bmj.2.3756.1212,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965232703&partnerID=40&md5=7126f06e84de40c200a2f6b36e74b025,Letter,Final,,Scopus,2-s2.0-84965232703
"Hughes, T.A.",57189125516,Rheumatic fever and the tropics,1932,British Medical Journal,2,3746,,773,774,,,10.1136/bmj.2.3746.773-c,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965239652&partnerID=40&md5=9750b3e4eccf65309ef837d08238550a,Letter,Final,,Scopus,2-s2.0-84965239652
"Bullock, H.",36524724300,Military adventurers in India,1932,Notes and Queries,162,18-Jun,,443,444,,,10.1093/nq/CLXII.jun18.443-h,https://www.scopus.com/inward/record.url?eid=2-s2.0-77958241286&partnerID=40&md5=eed6e55b4167b81b4f95a8a14cd1f45e,Letter,Final,,Scopus,2-s2.0-77958241286
"Bullock, H.",36524724300,Military adventurers in India,1932,Notes and Queries,162,4-Jun,,406,,,,10.1093/nq/CLXII.jun04.406-a,https://www.scopus.com/inward/record.url?eid=2-s2.0-77958275172&partnerID=40&md5=dc28e841e58e1f813d5ce1efb3d8781f,Letter,Final,,Scopus,2-s2.0-77958275172
"Dutta, P.C.",57190322818,A Case of Angioma of the Uterus.,1932,BJOG: An International Journal of Obstetrics &amp; Gynaecology,39,4,,814,815,,,10.1111/j.1471-0528.1932.tb16078.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979134310&partnerID=40&md5=02d6b117fbc559179f01a0dbb8860630,Article,Final,,Scopus,2-s2.0-84979134310
"Vaidhianathan, V.I., Puri, B.S.",26631305900; 24771268900,Magnetism of precipitates of colloidal silver [11],1932,Nature,129,3248,,170,,,,10.1038/129170a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149190220&partnerID=40&md5=5b21cc59802c333137902dbc373d1f71,Letter,Final,,Scopus,2-s2.0-51149190220
"Nath, V.",7004113249,Cytological differences between closely allied species [6],1932,Nature,130,3275,,204,,,,10.1038/130204a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149186894&partnerID=40&md5=b32f0c1bbd6a0b82eef38045774f8035,Letter,Final,,Scopus,2-s2.0-51149186894
"Dunnicliff, H.B., Suri, H.D.",16065455500; 23078399300,Phloroglucinol method for the determination of mechanical wood pulp in paper,1932,The Analyst,57,675,,354,361,,,10.1039/AN9325700354,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049163051&partnerID=40&md5=3434bf66c80f22322bba71dc3e431633,Conference Paper,Final,,Scopus,2-s2.0-37049163051
"Anand, B.",23000472000,A modified apparatus for Raman effect,1932,Journal of Scientific Instruments,9,10,306,324,325,,,10.1088/0950-7671/9/10/306,https://www.scopus.com/inward/record.url?eid=2-s2.0-36149061488&partnerID=40&md5=e90080cd4132815660dd9c2e22c45141,Article,Final,,Scopus,2-s2.0-36149061488
"Benade, J.M.",22987279200,A self-recording cosmic-ray electrometer and depth-ionization curve,1932,Physical Review,42,2,,290,297,,,10.1103/PhysRev.42.290,https://www.scopus.com/inward/record.url?eid=2-s2.0-36149013005&partnerID=40&md5=c4c52d31aee79920d5e8f6d6db74f126,Article,Final,,Scopus,2-s2.0-36149013005
"Bhatnagar, S.S., Lahiri, T.K.",55429686600; 16650661600,Eine magnetische Untersuchung der Ein-Elektronenbindungen in Verbindungen vom Typ der Tellur-Dimethyl-Dihalogenide,1933,Zeitschrift für Physik,84,10-Sep,,671,675,,,10.1007/BF01330409,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250907633&partnerID=40&md5=260220f4796a71928b4b38fe9c85e1af,Article,Final,,Scopus,2-s2.0-34250907633
"Christensen, J.",57190353901,THE LAW OF FREEDOM: A Dialogue for Moslems,1933,The Muslim World,23,1,,65,76,,,10.1111/j.1478-1913.1933.tb00237.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979311704&partnerID=40&md5=0df5d2acb62af36945f777ac75bc8bd7,Article,Final,,Scopus,2-s2.0-84979311704
"Madan, K.E.",56262829500,Observations on avertin narcosis,1933,British Journal of Anaesthesia,11,1,,20,22,,,10.1093/bja/11.1.20,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957186492&partnerID=40&md5=e8cfbf7c09bcb5731dd4602a9ef2e0ae,Article,Final,Open Access,Scopus,2-s2.0-77957186492
"Gulati, K.C., Seth, S.R., Venkataraman, K.",23076456600; 23078799800; 57208848277,Synthetical experiments in the chromone group. Part XIII. Hydroxy-2-styrylchromones,1934,Journal of the Chemical Society (Resumed),,,,1765,1767,,13,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049151026&partnerID=40&md5=a4e008e387d8407f60b7cff5b0c4937b,Article,Final,,Scopus,2-s2.0-37049151026
"Haq, M.A., Rây, J.N., Tuffail-Malkana, M.",23076864500; 16051184000; 23078903100,Quinoline derivatives. Part III. ?-2-amino-4:5- dimethoxybenzoylpropionic acid and its derivatives,1934,Journal of the Chemical Society (Resumed),,,,1326,1328,,4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049150485&partnerID=40&md5=321fd9a9c2f9923bdecd647c3278a38c,Article,Final,,Scopus,2-s2.0-37049150485
"Joshi, P.C., Venkataraman, K.",23077401100; 57208848277,Synthetical experiments in the chromone group. Part XI. Synthesis of isoflavone,1934,Journal of the Chemical Society (Resumed),,,,513,514,,7,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049147640&partnerID=40&md5=846913092b9a5b9c2f75641713c18590,Article,Final,,Scopus,2-s2.0-37049147640
