Date,Price
3-Dec-18,106
4-Dec-18,120
5-Dec-18,100
6-Dec-18,100
7-Dec-18,120
10-Dec-18,116
11-Dec-18,125
12-Dec-18,106
13-Dec-18,112
14-Dec-18,128
